pivot_1,pivot_2,pivot_3,pivot_4,platform_force_x,platform_force_y,platform_force_z,tau_c_1,tau_c_2,tau_c_3,tau_c_4,tau_c_5,tau_c_6,tau_c_7,tau_c_8,x_platform_x,x_platform_y,x_platform_qz,xd_platform_x,xd_platform_y,xd_platform_qz
6.08949,5.7576,0.892748,0.47967,-27.4465,0,0,1.52417,4,-2.30678,2.59217,-1.62709,3.51083,-4,-2.08758,-2.03116e-06,-5.05477e-08,7.79252e-07,-5.4072e-05,-1.3678e-05,-4.95804e-05,
6.08947,5.75757,0.89276,0.479682,-27.4679,0,0,1.52682,4,-2.31118,2.59655,-1.62979,3.51735,-4,-2.09114,-2.48736e-06,1.95453e-08,5.98937e-07,-3.81586e-05,5.86287e-06,-1.50822e-05,
6.08947,5.75754,0.89276,0.479682,-27.4895,0,0,1.52961,4,-2.31551,2.60106,-1.63259,3.52389,-4,-2.09488,-2.57253e-06,-1.89807e-07,3.81037e-07,-7.12336e-06,-1.751e-05,-1.82249e-05,
6.08945,5.75755,0.892771,0.479682,-27.5115,0,0,1.53225,4,-2.31997,2.6058,-1.63549,3.53047,-4,-2.09859,-2.8644e-06,-4.36632e-07,5.39755e-07,-2.41373e-05,-2.04116e-05,1.31255e-05,
6.08947,5.75759,0.892724,0.47967,-27.5323,0,0,1.53473,4,-2.32417,2.61068,-1.63869,3.53679,-4,-2.10204,-1.81399e-06,-3.3893e-07,-1.39899e-06,9.0704e-05,8.43661e-06,-0.000167413,
6.08947,5.75759,0.8927,0.47967,-27.5533,0,0,1.53726,4,-2.32836,2.61525,-1.64163,3.5431,-4,-2.10549,-1.4741e-06,-7.16192e-07,5.50047e-07,2.94256e-05,-3.26604e-05,0.000168733,
6.08949,5.7576,0.89264,0.479622,-27.5747,0,0,1.54019,4,-2.33269,2.62016,-1.64487,3.54954,-4,-2.10939,-6.74992e-07,-5.59734e-07,-4.30988e-07,6.74172e-05,1.31996e-05,-8.27656e-05,
6.0895,5.75763,0.892544,0.479598,-27.5956,0,0,1.54265,4,-2.33691,2.62513,-1.64834,3.55586,-4,-2.11272,-2.05631e-07,-3.19023e-07,-7.33024e-07,4.03873e-05,2.07126e-05,-2.59895e-05,
6.08949,5.75769,0.892484,0.479586,-27.6166,0,0,1.54483,4,-2.3412,2.63019,-1.65172,3.56209,-4,-2.11592,7.062e-07,-5.50329e-07,-1.6556e-06,7.88941e-05,-2.00132e-05,-7.98242e-05,
6.0895,5.75772,0.892484,0.479574,-27.638,0,0,1.54753,4,-2.34553,2.63505,-1.65472,3.56859,-4,-2.11972,1.32554e-06,-4.6094e-07,-8.18929e-07,5.20789e-05,7.51667e-06,7.03546e-05,
6.08951,5.75776,0.89246,0.479562,-27.6597,0,0,1.55016,4,-2.34988,2.64002,-1.65787,3.5751,-4,-2.12341,1.87555e-06,-1.28263e-07,-1.55305e-06,4.60575e-05,2.78581e-05,-6.14748e-05,
6.08954,5.75777,0.892472,0.479562,-27.6806,0,0,1.55292,4,-2.35401,2.64458,-1.66063,3.5815,-4,-2.12719,1.901e-06,-4.8061e-07,-4.18101e-07,2.19498e-06,-3.03913e-05,9.78937e-05,
6.08954,5.75776,0.892484,0.479586,-27.7013,0,0,1.55543,4,-2.35815,2.64893,-1.6633,3.58784,-4,-2.13062,2.66759e-06,-4.93606e-07,3.02054e-07,6.66001e-05,-1.12905e-06,6.25654e-05,
6.08953,5.75772,0.89246,0.479586,-27.723,0,0,1.55812,4,-2.3625,2.65342,-1.66621,3.59435,-4,-2.13417,1.98542e-06,-4.95871e-07,7.62142e-07,-5.71194e-05,-1.89591e-07,3.85239e-05,
6.08953,5.75772,0.892484,0.479598,-27.7438,0,0,1.56072,4,-2.3667,2.65785,-1.66887,3.60071,-4,-2.13777,1.12337e-06,6.96839e-08,1.75248e-06,-7.44951e-05,4.88729e-05,8.55803e-05,
6.08953,5.75771,0.89252,0.479622,-27.7645,0,0,1.56331,4,-2.37084,2.66213,-1.67139,3.60706,-4,-2.14133,-9.27732e-08,6.93249e-08,4.10354e-06,-0.000105516,-3.0971e-08,0.000203985,
6.08951,5.75765,0.89258,0.479622,-27.7861,0,0,1.56634,4,-2.37518,2.66619,-1.67368,3.61354,-4,-2.14532,-1.25271e-06,-3.08722e-07,4.26385e-06,-9.79979e-05,-3.19389e-05,1.35441e-05,
6.08953,5.75763,0.892628,0.479646,-27.8077,0,0,1.56921,4,-2.37944,2.67055,-1.67619,3.62019,-4,-2.14919,-2.49268e-06,-6.97949e-07,4.02724e-06,-0.000103296,-3.24243e-05,-1.97112e-05,
6.0895,5.7576,0.892652,0.47967,-27.8293,0,0,1.57174,4,-2.3838,2.67493,-1.67884,3.62669,-4,-2.15267,-2.85196e-06,-8.14772e-07,5.66197e-06,-3.0235e-05,-9.83097e-06,0.000137569,
6.0895,5.75755,0.892688,0.47967,-27.8503,0,0,1.5747,4,-2.38804,2.67908,-1.68128,3.63312,-4,-2.15656,-3.46063e-06,-8.7327e-07,5.42798e-06,-5.19672e-05,-4.99412e-06,-1.99778e-05,
6.08949,5.75755,0.892712,0.47967,-27.8712,0,0,1.57731,4,-2.3923,2.6835,-1.68392,3.63941,-4,-2.16018,-2.87329e-06,-1.25736e-06,6.08339e-06,5.08551e-05,-3.32566e-05,5.67484e-05,
