dist_sp,kl_bl_base_dist,kr_bl_base_dist,kl_bl_base_f_mag,kr_bl_base_f_mag,kl_bl_base_f_dir_x,kl_bl_base_f_dir_y,kl_bl_base_f_dir_z,kr_bl_base_f_dir_x,kr_bl_base_f_dir_y,kr_bl_base_f_dir_z,kl_bl_base_f_at_base_x,kl_bl_base_f_at_base_y,kl_bl_base_f_at_base_mz,kr_bl_base_f_at_base_x,kr_bl_base_f_at_base_y,kr_bl_base_f_at_base_mz
0.75,0.574713,0.601025,-88.314,-40.3207,13.3874,7.63843,-86.9586,-7.27136,5.55876,-39.2682,-88.168,-3.52991,7.67997,-39.604,7.17776,-4.45064,
0.75,0.575019,0.601159,-61.7219,-55.4204,9.33682,5.34151,-60.7774,-9.98698,7.64275,-53.9747,-61.62,-2.47084,5.36815,-54.4368,9.85858,-6.11619,
0.75,0.575175,0.601443,-88.381,-41.6274,13.3555,7.6509,-87.0304,-7.48919,5.74448,-40.5432,-88.235,-3.54208,7.6875,-40.891,7.39355,-4.59214,
0.75,0.575496,0.60158,-63.7524,-56.8092,9.61285,5.52175,-62.7811,-10.2122,7.84234,-55.3307,-63.6471,-2.55953,5.54608,-55.8057,10.0822,-6.26564,
0.75,0.575653,0.601855,-84.7701,-36.8916,12.7684,7.34416,-83.4805,-6.62138,5.09624,-35.9329,-84.6301,-3.40682,7.37511,-36.242,6.53694,-4.06719,
0.75,0.575971,0.602143,-65.8879,-38.1108,9.90527,5.71178,-64.8882,-6.82639,5.26914,-37.1224,-65.7791,-2.65351,5.73332,-37.442,6.74217,-4.19984,
0.75,0.576141,0.602282,-83.2055,-55.9712,12.4917,7.21528,-81.9454,-10.0163,7.74149,-54.5208,-83.0681,-3.35387,7.24077,-54.9905,9.89408,-6.16681,
0.75,0.576476,0.602574,-62.914,-37.0164,9.42154,5.45877,-61.9646,-6.61153,5.12383,-36.059,-62.81,-2.54166,5.47596,-36.3699,6.53294,-4.0767,
0.75,0.576645,0.602714,-82.2736,-54.8818,12.3073,7.14036,-81.0339,-9.79369,7.59963,-53.4634,-82.1376,-3.32674,7.16153,-53.9248,9.67829,-6.04299,
0.75,0.577004,0.602994,-58.3137,-37.4478,8.69765,5.06352,-57.4387,-6.67095,5.18913,-36.4817,-58.2172,-2.36385,5.07699,-36.7969,6.59369,-4.1217,
