p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,-0.112484,-0.0444668,-0.112484,-87.2265
750,105.5,80,-0.112416,-0.044584,-0.112416,-83.7471
750,105.5,80,-0.112386,-0.044737,-0.112386,-87.2757
750,105.5,80,-0.112358,-0.0448521,-0.112358,-86.7631
750,105.5,80,-0.112329,-0.0449669,-0.112329,-86.7453
750,105.5,80,-0.112304,-0.0450896,-0.112304,-87.143
750,105.5,80,-0.112279,-0.0452451,-0.112279,-87.5275
750,105.5,80,-0.112224,-0.0453649,-0.112224,-84.8391
750,105.5,80,-0.112196,-0.045521,-0.112196,-87.3741
750,105.5,80,-0.112169,-0.0456453,-0.112169,-86.9998
750,105.5,80,-0.112143,-0.0457679,-0.112143,-86.973
750,105.5,80,-0.112117,-0.0459212,-0.112117,-87.4448
750,105.5,80,-0.112067,-0.0460462,-0.112067,-85.2796
750,105.5,80,-0.112046,-0.0461935,-0.112046,-87.6266
750,105.5,80,-0.112018,-0.0463283,-0.112018,-87.0391
750,105.5,80,-0.111994,-0.0464818,-0.111994,-87.5041
750,105.5,80,-0.111947,-0.0466445,-0.111947,-86.325
750,105.5,80,-0.111916,-0.0467743,-0.111916,-86.7429
750,105.5,80,-0.111891,-0.0469322,-0.111891,-87.4399
750,105.5,80,-0.111843,-0.047081,-0.111843,-85.9391
750,105.5,80,-0.111819,-0.0472244,-0.111819,-87.3604
750,105.5,80,-0.111796,-0.047369,-0.111796,-87.4133
750,105.5,80,-0.11175,-0.04754,-0.11175,-86.4274
750,105.5,80,-0.111725,-0.0476666,-0.111725,-87.097
750,105.5,80,-0.111697,-0.0478211,-0.111697,-87.1563
750,105.5,80,-0.111647,-0.0479763,-0.111647,-85.9154
750,105.5,80,-0.11162,-0.0481034,-0.11162,-86.944
750,105.5,80,-0.111596,-0.0482238,-0.111596,-86.9607
750,105.5,80,-0.111572,-0.0483744,-0.111572,-87.3462
750,105.5,80,-0.111526,-0.0484991,-0.111526,-85.5321
750,105.5,80,-0.111501,-0.0486358,-0.111501,-87.1202
750,105.5,80,-0.11148,-0.048757,-0.11148,-87.1988
750,105.5,80,-0.11146,-0.0488766,-0.11146,-87.2285
750,105.5,80,-0.111441,-0.0489891,-0.111441,-87.2726
750,105.5,80,-0.111417,-0.0491478,-0.111417,-87.4175
750,105.5,80,-0.111377,-0.0492753,-0.111377,-85.8829
750,105.5,80,-0.11136,-0.0493898,-0.11136,-87.426
750,105.5,80,-0.111339,-0.0495013,-0.111339,-87.0878
750,105.5,80,-0.111323,-0.0496515,-0.111323,-87.7601
750,105.5,80,-0.111309,-0.0497783,-0.111309,-87.7543
750,105.5,80,-0.11129,-0.0499255,-0.11129,-87.5935
750,105.5,80,-0.111275,-0.0500496,-0.111275,-87.6476
750,105.5,80,-0.111245,-0.0501671,-0.111245,-86.4444
750,105.5,80,-0.11123,-0.0502791,-0.11123,-87.5402
750,105.5,80,-0.111216,-0.050425,-0.111216,-87.8901
750,105.5,80,-0.111203,-0.0505556,-0.111203,-87.8313
750,105.5,80,-0.11119,-0.050719,-0.11119,-88.0226
750,105.5,80,-0.111165,-0.0508401,-0.111165,-86.9369
750,105.5,80,-0.111154,-0.0509858,-0.111154,-88.0471
750,105.5,80,-0.111142,-0.0511122,-0.111142,-87.8902
750,105.5,80,-0.111128,-0.0512707,-0.111128,-87.9872
750,105.5,80,-0.1111,-0.051414,-0.1111,-87.0412
750,105.5,80,-0.111087,-0.0515404,-0.111087,-87.8344
750,105.5,80,-0.111078,-0.0516695,-0.111078,-88.0971
750,105.5,80,-0.111064,-0.0518254,-0.111064,-87.9666
750,105.5,80,-0.111043,-0.0519692,-0.111043,-87.5061
750,105.5,80,-0.111036,-0.0520978,-0.111036,-88.3027
750,105.5,80,-0.111024,-0.0522261,-0.111024,-87.9299
750,105.5,80,-0.111015,-0.0523793,-0.111015,-88.2449
750,105.5,80,-0.110998,-0.0525064,-0.110998,-87.6361
750,105.5,80,-0.110986,-0.0526543,-0.110986,-88.0391
750,105.5,80,-0.110975,-0.052783,-0.110975,-88.0746
750,105.5,80,-0.110963,-0.0529342,-0.110963,-88.1049
750,105.5,80,-0.110938,-0.0530857,-0.110938,-87.3003
750,105.5,80,-0.110919,-0.0532208,-0.110919,-87.6126
750,105.5,80,-0.110905,-0.0533394,-0.110905,-87.6934
750,105.5,80,-0.110892,-0.0534877,-0.110892,-88.0607
750,105.5,80,-0.110856,-0.0536075,-0.110856,-86.1498
750,105.5,80,-0.110838,-0.053759,-0.110838,-87.7601
750,105.5,80,-0.110819,-0.0538903,-0.110819,-87.5142
750,105.5,80,-0.110802,-0.0540402,-0.110802,-87.7819
750,105.5,80,-0.110759,-0.0541641,-0.110759,-85.6727
750,105.5,80,-0.110738,-0.0543096,-0.110738,-87.5245
750,105.5,80,-0.110723,-0.0544338,-0.110723,-87.7205
750,105.5,80,-0.110701,-0.0545939,-0.110701,-87.5374
750,105.5,80,-0.110652,-0.0547531,-0.110652,-86.0577
750,105.5,80,-0.110627,-0.0548852,-0.110627,-87.1021
750,105.5,80,-0.110603,-0.0550277,-0.110603,-87.2601
750,105.5,80,-0.110555,-0.055191,-0.110555,-86.1547
750,105.5,80,-0.110532,-0.0553216,-0.110532,-87.1562
750,105.5,80,-0.110504,-0.0554777,-0.110504,-87.161
750,105.5,80,-0.110452,-0.0556198,-0.110452,-85.4561
750,105.5,80,-0.110426,-0.0557475,-0.110426,-86.9044
750,105.5,80,-0.110397,-0.0559075,-0.110397,-87.1026
750,105.5,80,-0.110334,-0.0560462,-0.110334,-84.6402
750,105.5,80,-0.110305,-0.0561892,-0.110305,-86.8656
750,105.5,80,-0.110279,-0.0563169,-0.110279,-86.8375
750,105.5,80,-0.110246,-0.0564272,-0.110246,-86.0251
750,105.5,80,-0.110219,-0.0565745,-0.110219,-86.9937
750,105.5,80,-0.110133,-0.056694,-0.110133,-82.2627
750,105.5,80,-0.110104,-0.0568342,-0.110104,-86.7915
750,105.5,80,-0.110079,-0.0569558,-0.110079,-86.7182
750,105.5,80,-0.110053,-0.0570833,-0.110053,-86.787
750,105.5,80,-0.11003,-0.0572317,-0.11003,-87.1849
750,105.5,80,-0.109975,-0.0573911,-0.109975,-85.5253
750,105.5,80,-0.109952,-0.0575096,-0.109952,-86.7993
750,105.5,80,-0.109931,-0.0576353,-0.109931,-87.0362
750,105.5,80,-0.109914,-0.0577835,-0.109914,-87.5489
750,105.5,80,-0.109876,-0.0579523,-0.109876,-86.5049
750,105.5,80,-0.109862,-0.0581087,-0.109862,-87.7617
750,105.5,80,-0.109823,-0.0582369,-0.109823,-85.8746
750,105.5,80,-0.109806,-0.058351,-0.109806,-87.1471
750,105.5,80,-0.109791,-0.0584979,-0.109791,-87.6296
750,105.5,80,-0.109775,-0.0586092,-0.109775,-87.288
750,105.5,80,-0.109757,-0.0587297,-0.109757,-87.1595
750,105.5,80,-0.109742,-0.0588771,-0.109742,-87.627
750,105.5,80,-0.109716,-0.0590287,-0.109716,-87.0172
750,105.5,80,-0.109701,-0.0591625,-0.109701,-87.5261
750,105.5,80,-0.109691,-0.0592831,-0.109691,-87.7938
750,105.5,80,-0.109685,-0.0593929,-0.109685,-88.0896
750,105.5,80,-0.109669,-0.0595442,-0.109669,-87.5776
750,105.5,80,-0.109653,-0.059654,-0.109653,-87.2914
750,105.5,80,-0.109645,-0.0597958,-0.109645,-88.0344
