p,i,d,error,error_sum,prev_error,control_singal
750,105.5,80,0.251219,0.120651,0.251219,198.216
750,105.5,80,0.251169,0.120926,0.251169,197.506
750,105.5,80,0.251117,0.121257,0.251117,197.965
750,105.5,80,0.251064,0.121521,0.251064,197.115
750,105.5,80,0.251006,0.121806,0.251006,197.024
750,105.5,80,0.2509,0.12214,0.2509,194.696
750,105.5,80,0.250846,0.122427,0.250846,197.266
750,105.5,80,0.250788,0.122678,0.250788,196.39
750,105.5,80,0.250734,0.122931,0.250734,196.71
750,105.5,80,0.25068,0.123181,0.25068,196.684
750,105.5,80,0.250623,0.123525,0.250623,197.685
750,105.5,80,0.250561,0.123778,0.250561,196.096
750,105.5,80,0.250447,0.124055,0.250447,192.616
750,105.5,80,0.250388,0.124313,0.250388,196.365
750,105.5,80,0.250324,0.12466,0.250324,197.218
750,105.5,80,0.250266,0.124927,0.250266,196.509
750,105.5,80,0.250206,0.125274,0.250206,197.375
750,105.5,80,0.250143,0.125539,0.250143,196.145
750,105.5,80,0.250013,0.125817,0.250013,191.439
750,105.5,80,0.24995,0.126164,0.24995,197.123
750,105.5,80,0.24988,0.12651,0.24988,196.75
750,105.5,80,0.249817,0.126791,0.249817,196.198
750,105.5,80,0.249689,0.127133,0.249689,193.212
750,105.5,80,0.249622,0.127507,0.249622,197.117
750,105.5,80,0.24955,0.127786,0.24955,195.497
750,105.5,80,0.249416,0.128072,0.249416,191.228
750,105.5,80,0.249341,0.12841,0.249341,196.106
750,105.5,80,0.249271,0.128664,0.249271,195.057
750,105.5,80,0.249203,0.128998,0.249203,196.463
750,105.5,80,0.249131,0.129264,0.249131,195.055
750,105.5,80,0.248979,0.129542,0.248979,189.506
750,105.5,80,0.248905,0.1298,0.248905,194.636
750,105.5,80,0.248829,0.130124,0.248829,195.735
750,105.5,80,0.248754,0.130404,0.248754,194.973
750,105.5,80,0.248671,0.130751,0.248671,195.513
750,105.5,80,0.248594,0.131021,0.248594,194.626
750,105.5,80,0.248436,0.13136,0.248436,190.917
750,105.5,80,0.248354,0.131658,0.248354,194.721
750,105.5,80,0.248268,0.131975,0.248268,194.697
750,105.5,80,0.248186,0.132245,0.248186,194.116
750,105.5,80,0.248004,0.132597,0.248004,189.704
750,105.5,80,0.247906,0.132873,0.247906,192.923
750,105.5,80,0.247824,0.133163,0.247824,194.314
750,105.5,80,0.247741,0.133488,0.247741,194.826
750,105.5,80,0.247568,0.133841,0.247568,190.065
750,105.5,80,0.247485,0.13412,0.247485,193.906
750,105.5,80,0.247401,0.134488,0.247401,195.217
750,105.5,80,0.247224,0.13476,0.247224,186.755
750,105.5,80,0.247141,0.135075,0.247141,194.387
750,105.5,80,0.247057,0.135365,0.247057,193.842
750,105.5,80,0.246966,0.135725,0.246966,194.548
750,105.5,80,0.246794,0.135989,0.246794,186.615
750,105.5,80,0.24671,0.136327,0.24671,194.469
750,105.5,80,0.246712,0.136674,0.246712,199.6
750,105.5,80,0.246618,0.136937,0.246618,192.368
750,105.5,80,0.246446,0.137213,0.246446,187.002
750,105.5,80,0.246358,0.137463,0.246358,192.339
750,105.5,80,0.246262,0.137777,0.246262,193.217
750,105.5,80,0.246175,0.13814,0.246175,194.476
750,105.5,80,0.246086,0.138416,0.246086,192.835
750,105.5,80,0.2459,0.138694,0.2459,185.88
750,105.5,80,0.24581,0.139009,0.24581,193.4
750,105.5,80,0.245719,0.139375,0.245719,194.118
750,105.5,80,0.245628,0.139652,0.245628,192.505
750,105.5,80,0.245438,0.139918,0.245438,184.792
750,105.5,80,0.245349,0.140238,0.245349,193.338
750,105.5,80,0.245258,0.140539,0.245258,192.866
750,105.5,80,0.245161,0.140794,0.245161,191.218
750,105.5,80,0.245071,0.14111,0.245071,193.103
750,105.5,80,0.24498,0.141373,0.24498,191.892
750,105.5,80,0.244793,0.14163,0.244793,184.275
750,105.5,80,0.244702,0.141949,0.244702,192.957
750,105.5,80,0.244611,0.14223,0.244611,192.134
750,105.5,80,0.24452,0.142582,0.24452,193.376
750,105.5,80,0.244331,0.142855,0.244331,184.748
750,105.5,80,0.244241,0.14317,0.244241,192.724
750,105.5,80,0.24415,0.143461,0.24415,192.097
750,105.5,80,0.244057,0.143803,0.244057,192.93
750,105.5,80,0.243864,0.144073,0.243864,184.152
750,105.5,80,0.24377,0.144412,0.24377,192.667
750,105.5,80,0.243675,0.144756,0.243675,192.663
750,105.5,80,0.243571,0.14503,0.243571,190.55
750,105.5,80,0.24338,0.145384,0.24338,187.356
750,105.5,80,0.243276,0.145726,0.243276,191.944
750,105.5,80,0.243178,0.145981,0.243178,190.327
750,105.5,80,0.243082,0.146248,0.243082,190.723
750,105.5,80,0.242879,0.146586,0.242879,185.936
750,105.5,80,0.242781,0.146857,0.242781,190.543
750,105.5,80,0.242683,0.147174,0.242683,191.531
750,105.5,80,0.242585,0.147439,0.242585,190.329
750,105.5,80,0.242487,0.147699,0.242487,190.171
750,105.5,80,0.242285,0.147957,0.242285,182.118
750,105.5,80,0.242188,0.148275,0.242188,191.371
750,105.5,80,0.24209,0.148536,0.24209,189.992
750,105.5,80,0.241983,0.148786,0.241983,188.912
750,105.5,80,0.241886,0.149029,0.241886,189.361
750,105.5,80,0.241787,0.149367,0.241787,191.443
750,105.5,80,0.241587,0.149726,0.241587,186.213
750,105.5,80,0.241481,0.150006,0.241481,189.663
750,105.5,80,0.241382,0.150312,0.241382,190.64
750,105.5,80,0.241283,0.150592,0.241283,189.998
750,105.5,80,0.241073,0.150953,0.241073,185.535
750,105.5,80,0.240974,0.151318,0.240974,191.447
750,105.5,80,0.240771,0.151576,0.240771,181.428
750,105.5,80,0.240662,0.151886,0.240662,189.763
750,105.5,80,0.240562,0.152158,0.240562,189.351
750,105.5,80,0.240462,0.15254,0.240462,191.414
750,105.5,80,0.240255,0.152867,0.240255,184.153
750,105.5,80,0.240156,0.153123,0.240156,188.839
750,105.5,80,0.240057,0.153374,0.240057,188.621
750,105.5,80,0.239957,0.153707,0.239957,190.459
750,105.5,80,0.239751,0.153976,0.239751,181.323
750,105.5,80,0.239649,0.154221,0.239649,188.06
750,105.5,80,0.239549,0.154525,0.239549,189.619
750,105.5,80,0.239451,0.154886,0.239451,190.745
750,105.5,80,0.239259,0.155164,0.239259,182.632
750,105.5,80,0.239143,0.155509,0.239143,189.322
750,105.5,80,0.239034,0.155758,0.239034,187.298
750,105.5,80,0.238933,0.156091,0.238933,189.876
750,105.5,80,0.238727,0.156365,0.238727,181.216
750,105.5,80,0.238625,0.156699,0.238625,189.656
750,105.5,80,0.238515,0.156957,0.238515,187.273
